Date,Total_Trips,Total_Population,Per_Capita_Trips,Log_Total_Trips,Log_Population,Time_Index,Trips_YoY_Growth,Population_YoY_Growth,Month,Quarter
2017-07-01,55416305.0,13668312.0,4054.36347955768,17.83038442249504,16.43059071899805,12,6.44862554750647,1.3565209137599288,7,3
2017-08-01,61721972.0,13668312.0,4515.698207649928,17.93815053569412,16.43059071899805,13,3.6636593241315074,1.3565209137599288,8,3
2017-09-01,57187955.0,13668312.0,4183.980801725919,17.861853857252516,16.43059071899805,14,2.9269667731267157,1.3565209137599288,9,3
2017-10-01,59300703.0,13668312.0,4338.55350975307,17.89813171887239,16.43059071899805,15,7.311686464231704,1.3565209137599288,10,4
2017-11-01,60486591.0,13668312.0,4425.315357156026,17.917932262072465,16.43059071899805,16,4.741536860535844,1.3565209137599288,11,4
2017-12-01,53000322.0,13668312.0,3877.6055155896356,17.785808546969637,16.43059071899805,17,3.3065013543984723,1.3565209137599288,12,4
2018-01-01,50833509.0,13886922.0,3660.531037763444,17.744066321075366,16.446458091901864,18,4.9121652933402205,1.599392814562628,1,1
2018-02-01,55870795.0,13886922.0,4023.266998979327,17.838552350795343,16.446458091901864,19,4.964372176011045,1.599392814562628,2,1
2018-03-01,64256719.0,13886922.0,4627.139044922986,17.978396852147412,16.446458091901864,20,1.2414209034094847,1.599392814562628,3,1
2018-04-01,56888914.0,13886922.0,4096.581949549368,17.856611047073716,16.446458091901864,21,10.052593917966291,1.599392814562628,4,2
2018-05-01,65733833.0,13886922.0,4733.50631623048,18.001124312855687,16.446458091901864,22,4.469246201473842,1.599392814562628,5,2
2018-06-01,58251597.0,13886922.0,4194.709021912847,17.880282066343277,16.446458091901864,23,3.561898280754283,1.599392814562628,6,2
2018-07-01,58691169.0,13886922.0,4226.362688578506,17.8877998305505,16.446458091901864,24,5.909567590260667,1.599392814562628,7,3
2018-08-01,64650667.0,13886922.0,4655.507318324392,17.984508980220955,16.446458091901864,25,4.744979632212654,1.599392814562628,8,3
2018-09-01,59444297.0,13886922.0,4280.595584824341,17.90055024714715,16.446458091901864,26,3.9454846741765914,1.599392814562628,9,3
2018-10-01,61867787.0,13886922.0,4455.111579081384,17.94051019832051,16.446458091901864,27,4.328926758254448,1.599392814562628,10,4
2018-11-01,63553218.0,13886922.0,4576.479798763182,17.96738819161118,16.446458091901864,28,5.069928639225174,1.599392814562628,11,4
2018-12-01,54822798.0,13886922.0,3947.8005277195334,17.819616687302936,16.446458091901864,29,3.4386130710677643,1.599392814562628,12,4
2019-01-01,54210931.0,14107510.0,3842.700164664069,17.808393125042194,16.462217837667996,30,6.644085892240881,1.5884585511461768,1,1
2019-02-01,60087643.0,14107510.0,4259.266376561136,17.91131477104422,16.462217837667996,31,7.547499547840686,1.5884585511461768,2,1
2019-03-01,67583312.0,14107510.0,4790.591110692106,18.02887164663196,16.462217837667996,32,5.177035260701679,1.5884585511461768,3,1
2019-04-01,59590909.0,14107510.0,4224.055768877712,17.903013586844104,16.462217837667996,33,4.749598489435036,1.5884585511461768,4,2
2019-05-01,68449486.0,14107510.0,4851.989188737063,18.041606600539787,16.462217837667996,34,4.131286547674762,1.5884585511461768,5,2
2019-06-01,60163410.0,14107510.0,4264.637062103801,17.912574918180336,16.462217837667996,35,3.2819924233150166,1.5884585511461768,6,2
2019-07-01,63675286.0,14107510.0,4513.573692309983,17.969307070378406,16.462217837667996,36,8.492107219742028,1.5884585511461768,7,3
2019-08-01,66059669.934723005,14107510.0,4682.588914324569,18.006068981467614,16.462217837667996,37,2.1794097417788594,1.5884585511461768,8,3
2019-09-01,63148128.0,14107510.0,4476.206502777599,17.960993762615928,16.462217837667996,38,6.230759192929813,1.5884585511461768,9,3
2019-10-01,66208609.333467,14107510.0,4693.1463690946875,18.00832106280591,16.462217837667996,39,7.016288352882261,1.5884585511461768,10,4
2019-11-01,65481522.0,14107510.0,4641.607342472202,17.997278553935622,16.462217837667996,40,3.034156350666617,1.5884585511461768,11,4
2019-12-01,58539077.0,14107510.0,4149.497466243157,17.88520507210679,16.462217837667996,41,6.778710929712117,1.5884585511461768,12,4
2020-01-01,57098170.0,14288584.0,3996.0691696252056,17.86028262507588,16.474971454723367,42,5.325935096004897,1.2835291273938454,1,1
2020-02-01,60289465.0,14288584.0,4219.414953924056,17.91466793664947,16.474971454723367,43,0.33587937539836243,1.2835291273938454,2,1
2020-03-01,45048295.0,14288584.0,3152.7473261171294,17.623245694465563,16.474971454723367,44,-33.34405540823451,1.2835291273938454,3,1
2020-04-01,12186661.0,14288584.0,852.8949404643596,16.315852550892945,16.474971454723367,45,-79.54946282158576,1.2835291273938454,4,2
2020-05-01,18970297.0,14288584.0,1327.654090846231,16.758384998088058,16.474971454723367,46,-72.28569839078119,1.2835291273938454,5,2
2020-06-01,28093950.0,14288584.0,1966.18153345356,17.15106480863196,16.474971454723367,47,-53.30392675548145,1.2835291273938454,6,2
2020-07-01,30981173.0,14288584.0,2168.2465526325072,17.248890255373713,16.474971454723367,48,-51.3450587406863,1.2835291273938454,7,3
2020-08-01,29776835.0,14288584.0,2083.959824150525,17.209241300189948,16.474971454723367,49,-54.924335786987676,1.2835291273938454,8,3
2020-09-01,31752323.0,14288584.0,2222.216211207493,17.27347644598085,16.474971454723367,50,-49.7177129304609,1.2835291273938454,9,3
2020-10-01,33452574.0,14288584.0,2341.2098777597557,17.325639292250607,16.474971454723367,51,-49.47398180271028,1.2835291273938454,10,4
2020-11-01,35210189.0,14288584.0,2464.218217844399,17.37684605891007,16.474971454723367,52,-46.22881703940847,1.2835291273938454,11,4
2020-12-01,32616769.0,14288584.0,2282.715278154924,17.300337100588617,16.474971454723367,53,-44.282057949085875,1.2835291273938454,12,4
2021-01-01,27921446.0,14437058.0,1934.0121789356253,17.144905625348294,16.48530893105903,54,-51.09922787367791,1.0391092637310972,1,1
2021-02-01,36203854.0,14437058.0,2507.703023704691,17.4046761352175,16.48530893105903,55,-39.9499497963699,1.0391092637310972,2,1
2021-03-01,41930788.0,14437058.0,2904.3859212867333,17.551530912197162,16.48530893105903,56,-6.920366242495968,1.0391092637310972,3,1
2021-04-01,40552149.0,14437058.0,2808.8928506070974,17.518099333422306,16.48530893105903,57,232.7584889741333,1.0391092637310972,4,2
2021-05-01,41956834.0,14437058.0,2906.1900284670187,17.55215188583346,16.48530893105903,58,121.17120253836826,1.0391092637310972,5,2
2021-06-01,34433909.0,14437058.0,2385.1056773478363,17.354552363578232,16.48530893105903,59,22.566990401848088,1.0391092637310972,6,2
2021-07-01,11096000.0,14437058.0,768.5776423423665,16.222095240976806,16.48530893105903,60,-64.18470017258547,1.0391092637310972,7,3
2021-08-01,9086788.0,14437058.0,629.4071825437011,16.02233204837342,16.48530893105903,61,-69.48370100448888,1.0391092637310972,8,3
2021-09-01,9899727.0,14437058.0,685.7163696370826,16.108017738967025,16.48530893105903,62,-68.82203862690614,1.0391092637310972,9,3
2021-10-01,19416167.0,14437058.0,1344.8839091731847,16.781616627505272,16.48530893105903,63,-41.95912398250729,1.0391092637310972,10,4
2021-11-01,29474813.0,14437058.0,2041.607992431699,17.199046660007955,16.48530893105903,64,-16.28896681014691,1.0391092637310972,11,4
2021-12-01,28019117.0,14437058.0,1940.7774769624116,17.14839758517173,16.48530893105903,65,-14.09597621395301,1.0391092637310972,12,4
2022-01-01,20612534.0,14608488.0,1410.9970860776282,16.841409895333168,16.49711328761159,66,-26.176695863101074,1.1874302922382007,1,1
2022-02-01,27520237.0,14608488.0,1883.8525246418383,17.13043218291094,16.49711328761159,67,-23.985338687975045,1.1874302922382007,2,1
2022-03-01,34533253.0,14608488.0,2363.9169912724715,17.357433272864014,16.49711328761159,68,-17.64225132139181,1.1874302922382007,3,1
2022-04-01,34541683.0,14608488.0,2364.4940530464205,17.357677355610377,16.49711328761159,69,-14.82157209473658,1.1874302922382007,4,2
2022-05-01,39831625.0,14608488.0,2726.6083252421467,17.500171752718767,16.49711328761159,70,-5.065227276204876,1.1874302922382007,5,2
2022-06-01,40386264.0,14608488.0,2764.575225033556,17.514000285118275,16.49711328761159,71,17.286317972205833,1.1874302922382007,6,2
2022-07-01,35678755.0,14608488.0,2442.3304451494228,17.390065971569534,16.49711328761159,72,221.5460976928623,1.1874302922382007,7,3
2022-08-01,39726817.0,14608488.0,2719.433866119478,17.497537008799817,16.49711328761159,73,337.193175410277,1.1874302922382007,8,3
2022-09-01,39300121.0,14608488.0,2690.2250937947856,17.486738155715155,16.49711328761159,74,296.9818662676254,1.1874302922382007,9,3
2022-10-01,42085042.0,14608488.0,2880.862276780458,17.555202938607593,16.49711328761159,75,116.75257531519993,1.1874302922382007,10,4
2022-11-01,40484935.0,14608488.0,2771.329585922924,17.51644048756815,16.49711328761159,76,37.35434046689288,1.1874302922382007,11,4
2022-12-01,42734291.0,14608488.0,2925.3055483907715,17.57051222382804,16.49711328761159,77,52.51833596326394,1.1874302922382007,12,4
2023-01-01,40964219.0,14808064.0,2766.345350749429,17.528209536320777,16.510682455214244,78,98.73451269989415,1.3661646571500041,1,1
2023-02-01,46814658.0,14808064.0,3161.430015429431,17.661706916977593,16.510682455214244,79,70.10993764334223,1.3661646571500041,2,1
2023-03-01,53708668.0,14808064.0,3626.987835817025,17.799084961723068,16.510682455214244,80,55.52739268437874,1.3661646571500041,3,1
2023-04-01,43575407.0,14808064.0,2942.6808933294724,17.590003489544753,16.510682455214244,81,26.15310898429588,1.3661646571500041,4,2
2023-05-01,52074274.0,14808064.0,3516.615946554526,17.7681816035835,16.510682455214244,82,30.736001857820263,1.3661646571500041,5,2
2023-06-01,49893293.0,14808064.0,3369.3326149859968,17.725397142870438,16.510682455214244,83,23.540253686253322,1.3661646571500041,6,2
2023-07-01,48968013.0,14808064.0,3306.8477418790194,17.706677846992505,16.510682455214244,84,37.2469779284619,1.3661646571500041,7,3
2023-08-01,54565883.0,14808064.0,3684.8762268990736,17.814919391932982,16.510682455214244,85,37.3527685341617,1.3661646571500041,8,3
2023-09-01,52017302.0,14808064.0,3512.7685833880782,17.767086951972324,16.510682455214244,86,32.35913955582988,1.3661646571500041,9,3
2023-10-01,53645206.0,14808064.0,3622.702197937556,17.797902666105262,16.510682455214244,87,27.46858135486714,1.3661646571500041,10,4
2023-11-01,53919493.0,14808064.0,3641.2250109129727,17.80300262170513,16.510682455214244,88,33.18409181094153,1.3661646571500041,11,4
2023-12-01,48810669.0,14808064.0,3296.2221800229927,17.703459473977144,16.510682455214244,89,14.218974640295311,1.3661646571500041,12,4
2024-01-01,47723394.54,15016706.0,3178.0201690037748,17.680932287198836,16.52467387265896,90,16.500193839897204,1.408975541974966,1,1
2024-02-01,55232361.39,15016706.0,3678.0610468101327,17.827059596531004,16.52467387265896,91,17.98091399065651,1.408975541974966,2,1
2024-03-01,57977662.92,15016706.0,3860.8775399877977,17.875568372263178,16.52467387265896,92,7.948428212742131,1.408975541974966,3,1
2024-04-01,51939329.019999996,15016706.0,3458.769787462044,17.765586845748086,16.52467387265896,93,19.194134021513555,1.408975541974966,4,2
2024-05-01,56671662.52,15016706.0,3773.9077078555047,17.852784864578023,16.52467387265896,94,8.828521584381566,1.408975541974966,5,2
2024-06-01,50143428.980000004,15016706.0,3339.1763133672594,17.730398036469342,16.52467387265896,95,0.5013418937892089,1.408975541974966,6,2
2024-07-01,53266919.93,15016706.0,3547.1773856397003,17.790826057247823,16.52467387265896,96,8.779010351104088,1.408975541974966,7,3
2024-08-01,57840490.37,15016706.0,3851.7428768999007,17.873199613821722,16.52467387265896,97,6.001199265848944,1.408975541974966,8,3
2024-09-01,54776176.099999994,15016706.0,3647.6825277128014,17.818765914689507,16.52467387265896,98,5.303762390444611,1.408975541974966,9,3
2024-10-01,58435204.58,15016706.0,3891.3463831548675,17.883429084327265,16.52467387265896,99,8.929033807792619,1.408975541974966,10,4
2024-11-01,55570780.47,15016706.0,3700.597219523376,17.833168089965827,16.52467387265896,100,3.062505558054851,1.408975541974966,11,4
2024-12-01,51613239.0,15016706.0,3437.054637681526,17.75928876731084,16.52467387265896,101,5.741716017045362,1.408975541974966,12,4
2025-01-01,48414981.05,15232336.0,3178.4344206955516,17.69531984962007,16.538931094593522,102,1.4491561563591882,1.435934085677637,1,1
2025-02-01,53597791.83,15232336.0,3518.6849758303647,17.79701842799091,16.538931094593522,103,-2.959441745498037,1.435934085677637,2,1
2025-03-01,60657353.650000006,15232336.0,3982.1438845624207,17.920751433325165,16.538931094593522,104,4.621936440759189,1.435934085677637,3,1
2025-04-01,54264281.07,15232336.0,3562.4398693673775,17.80937676127177,16.538931094593522,105,4.476284337644687,1.435934085677637,4,2
2025-05-01,56617109.49,15232336.0,3716.9026136240695,17.851821785302846,16.538931094593522,106,-0.09626156631764582,1.435934085677637,5,2
2025-06-01,53972421.8,15232336.0,3543.2793630602687,17.803983766665695,16.538931094593522,107,7.636080934008738,1.435934085677637,6,2
2025-07-01,54071412.739999995,15232336.0,3549.7780996952793,17.805816188999103,16.538931094593522,108,1.5103047276944226,1.435934085677637,7,3
2025-08-01,55622396.25,15232336.0,3651.5998760794146,17.834096488366338,16.538931094593522,109,-3.834846671961223,1.435934085677637,8,3
2025-09-01,57603964.36,15232336.0,3781.6894506528743,17.869101948992185,16.538931094593522,110,5.162441888673586,1.435934085677637,9,3
2025-10-01,59593242.449999996,15232336.0,3912.28518396653,17.903052743895977,16.538931094593522,111,1.9817469252025877,1.435934085677637,10,4
2025-11-01,57471411.65,15232336.0,3772.987390115344,17.866798193432643,16.538931094593522,112,3.420198823779441,1.435934085677637,11,4
2025-12-01,53301684.730000004,15232336.0,3499.2456002808763,17.791478497079314,16.538931094593522,113,3.271342319748638,1.435934085677637,12,4
